0	129
1	36
2	53
3	115
4	23
5	80
6	96
7	-79
8	-128
9	-58
10	-62
11	108
12	119
13	-143
14	0
15	93
16	-107
17	86
18	-110
19	-9
20	91
21	-57
22	-46
23	-64
24	63
25	-71
26	142
27	-16
28	-6
29	1
30	24
31	15
32	3
33	143
34	89
35	85
36	58
37	35
38	-46
39	141
40	-10
41	-82
42	100
43	-98
44	103
45	33
46	-111
47	-132
48	-16
49	-134
50	-104
51	4
52	136
53	-10
54	89
55	121
56	93
57	37
58	-17
59	4
60	-68
61	-1
62	-35
63	-73
64	143
65	-141
66	-116
67	-89
68	136
69	55
70	110
71	-87
72	64
73	-38
74	-3
75	-143
76	34
77	95
78	47
79	-100
80	10
81	-67
82	134
83	110
84	-91
85	3
86	127
87	100
88	60
89	40
90	-132
91	70
92	-8
93	-118
94	-74
95	12
96	66
97	2
98	33
99	107
100	54
101	-40
102	41
103	28
104	-113
105	-127
106	46
107	-32
108	28
109	-51
110	-79
111	-101
112	-34
113	91
114	-29
115	-35
116	22
117	138
118	-31
119	26
120	-17
121	30
122	-16
123	40
124	14
125	51
126	132
127	-101
128	18
129	-17
130	-41
131	-75
132	-129
133	-28
134	94
135	-117
136	-27
137	135
138	130
139	-82
140	-142
141	50
142	-140
143	-58
144	-1
145	108
146	-118
147	47
148	10
149	-106
150	100
151	100
152	-5
153	129
154	31
155	117
156	133
157	20
158	-63
159	-102
160	18
161	-89
162	72
163	124
164	-74
165	15
